timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2026-05-09 07:12:52,0.02,23.39,2.28,24,healthy
2026-05-09 07:12:57,97.52,1024,100.00,201,healthy
2026-05-09 07:13:03,0.02,23.3,2.28,17,healthy
2026-05-09 07:13:09,0.02,23.4,2.29,75,healthy
2026-05-09 07:13:14,0.00,3.203,0.31,21,healthy
2026-05-09 07:13:20,4.60,23.36,2.28,16,healthy
2026-05-09 07:13:26,96.19,435.3,42.51,71,healthy
2026-05-09 07:13:31,0.00,23.22,2.27,18,healthy
2026-05-09 07:13:37,0.02,23.37,2.28,16,healthy
2026-05-09 07:13:43,100.07,948.3,92.61,469,healthy
2026-05-09 07:13:49,1.46,23.75,2.32,16,healthy
2026-05-09 07:13:55,0.02,23.55,2.30,21,healthy
2026-05-09 07:14:00,22.38,120.1,11.73,49,healthy
2026-05-09 07:14:07,15.63,23.22,2.27,18,healthy
2026-05-09 07:14:13,0.02,23.37,2.28,19,healthy
2026-05-09 07:14:18,100.22,832.4,81.29,201,healthy
2026-05-09 07:14:24,0.02,23.3,2.28,21,healthy
2026-05-09 07:14:30,0.02,23.38,2.28,16,healthy
2026-05-09 07:14:36,98.20,1024,100.00,72,healthy
2026-05-09 07:14:42,0.03,23.3,2.28,17,healthy
2026-05-09 07:14:47,3.49,33.93,3.31,10,healthy
2026-05-09 07:14:53,99.90,975.1,95.22,115,healthy
2026-05-09 07:14:59,0.11,23.3,2.28,34,healthy
2026-05-09 07:15:04,0.24,23.39,2.28,20,healthy
2026-05-09 07:15:10,100.32,1024,100.00,271,healthy
2026-05-09 07:15:16,0.04,23.3,2.28,16,healthy
2026-05-09 07:15:22,0.05,23.39,2.28,17,healthy
2026-05-09 07:15:27,102.44,1018,99.41,129,healthy
2026-05-09 07:15:33,0.03,23.31,2.28,17,healthy
2026-05-09 07:15:39,0.02,23.41,2.29,58,healthy
2026-05-09 07:15:44,88.03,1024,100.00,60,healthy
2026-05-09 07:15:50,0.03,23.31,2.28,10,healthy
2026-05-09 07:15:56,22.89,114.7,11.20,12,healthy
2026-05-09 07:16:01,0.00,23.38,2.28,21,healthy
2026-05-09 07:16:07,0.02,23.38,2.28,19,healthy
2026-05-09 07:16:14,74.92,916.2,89.47,188,healthy
2026-05-09 07:16:20,0.03,23.3,2.28,22,healthy
2026-05-09 07:16:25,0.02,23.39,2.28,12,healthy
2026-05-09 07:16:31,100.91,1024,100.00,119,unhealthy
2026-05-09 07:16:37,0.02,23.32,2.28,15,healthy
2026-05-09 07:16:42,70.41,320.7,31.32,91,healthy
2026-05-09 07:16:49,5.58,1024,100.00,10,healthy
2026-05-09 07:16:55,0.03,23.32,2.28,20,healthy
2026-05-09 07:17:01,0.02,25.33,2.47,19,healthy
2026-05-09 07:17:07,97.38,1024,100.00,69,healthy
2026-05-09 07:17:12,0.29,23.34,2.28,17,healthy
2026-05-09 07:17:18,1.25,24.05,2.35,30,healthy
2026-05-09 07:17:24,0.00,23.21,2.27,19,healthy
2026-05-09 07:17:30,0.02,23.38,2.28,14,healthy
2026-05-09 07:17:36,95.56,758.8,74.10,89,healthy
2026-05-09 07:17:42,0.02,23.32,2.28,17,healthy
2026-05-09 07:17:47,0.02,23.4,2.29,19,healthy
2026-05-09 07:17:53,99.44,1024,100.00,128,healthy
2026-05-09 07:17:59,0.03,23.3,2.28,17,healthy
2026-05-09 07:18:04,0.02,23.38,2.28,56,healthy
2026-05-09 07:18:10,0.00,2.496,0.24,26,healthy
2026-05-09 07:18:16,3.33,23.4,2.29,13,healthy
2026-05-09 07:18:22,99.78,987.6,96.45,46,healthy
2026-05-09 07:18:28,0.04,23.29,2.27,21,healthy
2026-05-09 07:18:33,0.02,23.38,2.28,15,healthy
2026-05-09 07:18:39,100.81,972.7,94.99,79,healthy
2026-05-09 07:18:45,0.03,23.3,2.28,18,healthy
2026-05-09 07:18:50,0.03,23.39,2.28,15,healthy
2026-05-09 07:18:56,99.98,1014,99.02,193,healthy
2026-05-09 07:19:02,0.03,23.25,2.27,23,healthy
2026-05-09 07:19:07,0.02,23.32,2.28,19,healthy
2026-05-09 07:19:13,89.75,1024,100.00,48,healthy
2026-05-09 07:19:19,0.03,23.3,2.28,33,healthy
2026-05-09 07:19:25,0.10,23.4,2.29,18,healthy
2026-05-09 07:19:30,0.00,11,100.00,18,healthy
2026-05-09 07:19:36,5.22,23.85,2.33,16,healthy
2026-05-09 07:19:42,99.98,561,54.79,51,healthy
